"Nom_Agence,Adresse,Code_Postal,Ville,Telephone"
"France Travail Saint-Denis Réunion,357 rue Maréchal-Leclerc,97400,Saint-Denis,3949"
"France Travail Sainte-Clotilde,14 allée Claude Debussy,97400,Sainte-Clotilde,3949"
"France Travail Du Moulin,4 allée Maureau,97400,Saint-Denis,3949"
"France Travail Sainte-Marie,30 rue André-Lardy,97438,Sainte-Marie,3949"
"France Travail Saint-André,40 rue Lory les Bas,97440,Saint-André,3949"
"France Travail Saint-Benoît,4 rue des Glaïeuls,97470,Saint-Benoît,3949"
"France Travail La Possession,6 route Savannah,97419,La Possession,3949"
"France Travail Le Port,2 rue Fond-Générèse,97420,Le Port,3949"
"France Travail Saint-Paul Réunion,6 route Savannah,97460,Saint-Paul,3949"
"France Travail L'Eperon,2 rue Fond Générèse,97435,Saint-Paul,3949"
"France Travail Saint-Leu,1 rue Galabé,97436,Saint-Leu,3949"
"France Travail Saint-Louis Bel-Air,20 rue de l'Étang,97450,Saint-Louis,3949"
"France Travail La Rivière,64A route de Cilaos,97450,Saint-Louis,3949"
"France Travail Saint-Pierre Réunion,40 rue François-de-Mahy,97454,Saint-Pierre,3949"
"France Travail Ravine des Cabris,403 chemin Boeuf,97432,Saint-Pierre,3949"
"France Travail Le Tampon,106 rue Martinel-Lassays,97430,Le Tampon,3949"
"France Travail Saint-Joseph,40 rue du Général-de-Gaulle,97480,Saint-Joseph,3949"
